year,artist,song,performer,quote,price_k,kind,currency,city,confidence,flags,note,source,id,genius_url,genius_id,genius_year,lyric_location,wiki_title,wiki_birth_place,wiki_origin,wiki_top_city,annotation_url,annotation_text,annotation_votes,image,image_source,song_art,inferred_city,inferred_basis,inferred_url,inferred_confidence,home_city,home_city_source
2013,Ace Hood,Bugatti,Rick Ross,"That's why I hustle for half a key, that's twelve G's",24,sell,USD,"Miami, FL",high,derived,12 per half => 24 per kilo,annotation,193,https://genius.com/Ace-hood-bugatti-lyrics,110064,2013,,Rick Ross,"Clarksdale, Mississippi, U.S","Miami-Dade County, Florida, U.S",Miami,https://genius.com/1508526,"Following up on from the previous line, Ross explains he sells cocaine in order to let his mother retire comfortably, as he was tired of watching her struggle.

In Miami, a kilo of coke is worth of 20K-28.5K, so when Ross is selling $12K for a half a kilo, he might be asking for too much.",4,img/artists/rick-ross-88.jpg,artist_photo,img/art/110064.jpg,,,,,"Miami, FL",curated
2013,Payroll Giovanni,Pure White,Payroll Giovanni,"I had 'em for the 2-3, nigga, just like new J's",23,sell,USD,"Detroit, MI",medium,implied_unit,Jordan's 23 => $23k,annotation,194,https://genius.com/Payroll-giovanni-pure-white-lyrics,254761,2013,,,,,,https://genius.com/2397530,"Reference to world-famous basketball star Michael Jordan, whose basketball number was 23.



He is also well known for Air Jordans, a brand of shoes and athletic clothing designed, owned, and produced by Nike and Michael Jordan himself. These are often referred to as “J’s”

But Jeezy ain’t talking basketball. He’s saying he could buy a kilo of cocaine for $23,000. He has stated this before by sayi",0,img/artists/payroll-giovanni-582820.jpg,artist_photo,img/art/254761.jpg,,,,,"Detroit, MI",curated
2013,Gucci Mane,Jugg Finesse,Gucci Mane,"1017, that's a brick wit' a extra 10",17,sell,USD,"Atlanta, GA",high,,1017 Bricksquad wordplay: 17 for the brick,annotation,195,https://genius.com/Gucci-mane-and-young-scooter-jugg-finesse-lyrics,151176,2013,,Gucci Mane,"Bessemer, Alabama, US","Atlanta, Georgia, US",Atlanta,https://genius.com/16069325,"Gucci’s uses his label’s name, 1017 Bricksquad, to allude to how much he’ll charge you for a brick of cocaine: $17,000.",0,img/gm.jpg,manual,img/art/151176.jpg,,,,,"Atlanta, GA",curated
2014,Rick Ross,War Ready,Rick Ross,"Seventeen, I was chargin' niggas seventeen",17,sell,USD,"Miami, FL",high,retrospective,at age 17,annotation,196,https://genius.com/Rick-ross-war-ready-lyrics,352087,2014,,Rick Ross,"Clarksdale, Mississippi, U.S","Miami-Dade County, Florida, U.S",Miami,https://genius.com/2853863,https://players.brightcove.net/4863540648001/HklmClHkx_default/index.html?videoId=5236752450001,31,img/artists/rick-ross-88.jpg,artist_photo,img/art/352087.jpg,,,,,"Miami, FL",curated
2015,Yo Gotti,Rihanna,Yo Gotti,Got bricks of Madonna / Twenty two for that thirty six,22,sell,USD,"Memphis, TN",high,,,annotation,197,https://genius.com/Yo-gotti-rihanna-lyrics,2156427,2015,,Yo Gotti,"Memphis, Tennessee, U.S",,Memphis,https://genius.com/7191439,"Gotti has built a criminal network based on drug trafficking of mostly cocaine aka “white girl”. He has made it from the streets to directing his shooters and runners out of his bando. For a cocaine brick of 36 ounces, he receives $22,000 and pays 9% to the couriers.",1,img/artists/yo-gotti-118.jpg,artist_photo,img/art/2156427.jpg,,,,,"Memphis, TN",curated
2019,Griselda,Chef Dred's,Benny the Butcher,I double up if the brick clean / But now I get that for a sixteen,16,buy,USD,"Buffalo, NY",medium,,,annotation,198,https://genius.com/Griselda-chef-dreds-lyrics,5005059,2019,,,,,,https://genius.com/24632688,"To be “mean” is slang for being cool, a possible reference to Conway earlier comparing his wrist to ice. To “double up” is to double the price of a drug sold. A “brick” is a compact rectangle of cocaine, and for drugs to be clean is to be pure and uncut. “16” is probably 16 thousand dollars Benny buys the pure cocaine for, and then he doubles it for $32 thousand. He also says he spends money on “d",4,img/artists/griselda-1124868.jpg,artist_photo,img/art/5005059.jpg,,,,,"Buffalo, NY",curated
2024,Conway the Machine,Mutty,Conway the Machine,"If you got a half a bird for nine, and water whipped it all the way 'round",18,buy,USD,"Buffalo, NY",high,derived,9 per half => 18 per kilo,annotation,199,https://genius.com/Conway-the-machine-and-stove-god-cooks-mutty-lyrics,9961205,2024,,Conway the Machine,"Buffalo, New York, U.S",,London,https://genius.com/36785949,"If you buy a half a kilogram (500 grams) of cocaine for $9,000 and cook it  into crack so well that double the amount of drugs to sell (1000 grams).",0,img/artists/conway-the-machine-53774.jpg,artist_photo,img/art/9961205.jpg,,,,,"Buffalo, NY",curated
2007,Gorilla Zoe,Money Man,Gorilla Zoe,"We got bricks of the flake, Justin Timberlake / Last year was 24, this year is 28",28,quoted,USD,"Atlanta, GA",high,implied_unit,"price move stated in the line: 24 in 2006, 28 in 2007",lyric_search,200,https://genius.com/Gorilla-zoe-money-man-lyrics,173179,2007,,,,,,,,,img/artists/gorilla-zoe-859.jpg,artist_photo,img/art/173179.jpg,,,,,"Atlanta, GA",curated
2007,Gorilla Zoe,Money Man,Gorilla Zoe,"We got bricks of the flake, Justin Timberlake / Last year was 24, this year is 28",24,quoted,USD,"Atlanta, GA",high,implied_unit;retrospective;companion,the 'last year' half of the line: 24 in 2006; dated to 2006 in build.py. Companion row to the 28 (2007) entry,lyric_search,234,https://genius.com/Gorilla-zoe-money-man-lyrics,173179,2007,,,,,,,,,img/artists/gorilla-zoe-859.jpg,artist_photo,img/art/173179.jpg,,,,,"Atlanta, GA",curated
2007,Gucci Mane,Truck Loaded,Gucci Mane,"Eighteen bands, I done sold another thing / Ten grand cash, that'll get you 'bout a half",18,sell,USD,"Atlanta, GA",high,implied_unit,"full price list: 18 for the whole thing, 10 for a half; re-recorded as 'Do The Math' (2009)",lyric_search,201,https://genius.com/Gucci-mane-truck-loaded-lyrics,7986828,2007,,Gucci Mane,"Bessemer, Alabama, US","Atlanta, Georgia, US",Atlanta,,,,img/artists/gucci-mane-13.jpg,artist_photo,img/art/7986828.jpg,,,,,"Atlanta, GA",curated
2016,Snap Capone,Pay 4 It / Picture Me Rolling,Snap Capone,"Charge thirty for a key, that's the price of my watch",30,sell,GBP,"London, UK",medium,,,lyric_search,202,https://genius.com/Snap-capone-pay-4-it-picture-me-rolling-lyrics,5519916,,,,,,,,,,img/artists/snap-capone-244715.jpg,artist_photo,img/art/5519916.jpg,,,,,"London, UK",curated
2019,Fee Gonzales,Slatt,Fee Gonzales,I just paid like 40 for the brick,40,buy,GBP,"London, UK",medium,,,lyric_search,203,https://genius.com/Fee-gonzales-slatt-lyrics,5897803,,,,,,,,,,img/artists/fee-gonzales-1172394.jpg,artist_photo,img/art/5897803.jpg,"London, UK","South London rapper per Viper Mag and Wordplay coverage; collaborator of Giggs, JME, Potter Payper",https://www.vipermag.com/2026/08/28/5-unstoppable-reasons-fee-gonzales/,high,"London, UK",curated
2013,Doughboyz Cashout,Numbers,,2 for 60 for the bricks,30,sell,USD,"Detroit, MI",medium,derived,2 for 60 => 30 per brick,lyric_search,204,https://genius.com/Doughboyz-cashout-numbers-lyrics,134910,,,,,,,,,,img/artists/doughboyz-cashout-13264.jpg,artist_photo,img/art/134910.jpg,,,,,"Detroit, MI",curated
2014,Smerker,Stars In The Wraith (Remix),,"Thirty on my wrist, wan' pay thirty for a brick",30,buy,GBP,"London, UK",medium,,,lyric_search,205,https://genius.com/Smerker-stars-in-the-wraith-remix-lyrics,8559402,,,,,,,,,,,,,,,,,"London, UK",curated
2006,Styles P,Institutionalized,Styles P,"Twenty for a brick, but if you caught, it's twenty-five",20,quoted,USD,"Yonkers, NY",high,,"25 is the sentence in years, not a price",lyric_search,206,https://genius.com/Styles-p-institutionalized-lyrics,1931248,,,Styles P,"Queens, New York City, U.S","Yonkers, New York, U.S",New York,,,,img/artists/styles-p-75.jpg,artist_photo,img/art/1931248.jpg,,,,,"Yonkers, NY",curated
2001,E.S.G. & Slim Thug,Mash For Our Cash,,"Sixteen-five for a bird, so nigga quit hating",16.5,sell,USD,"Houston, TX",high,,,lyric_search,207,https://genius.com/Esg-tx-and-slim-thug-mash-for-our-cash-lyrics,19055,2001,,,,,,,,,img/artists/e-s-g-tx-3630.jpg,artist_photo,img/art/19055.jpg,,,,,"Houston, TX",curated
2023,"GooseByTheWay, SK Da King, 7xvethegenius & Lucky Seven",Take It Back,,Before niggas started payin' thirty for a whole thing,30,buy,USD,"Buffalo, NY",medium,implied_unit;retrospective,'whole thing' = kilo; line looks back to before fentanyl,lyric_search,208,https://genius.com/Goosebytheway-sk-da-king-7xvethegenius-and-lucky-seven-take-it-back-lyrics,9285464,2023,,,,,,,,,img/artists/goosebytheway-3494720.jpg,artist_photo,img/art/9285464.jpg,,,,,"Buffalo, NY",curated
2019,Ameer Vann,All I Know,Ameer Vann,Thirty for a brick and a hunnid in the trunk,30,quoted,USD,"Houston, TX",medium,,,lyric_search,209,https://genius.com/Ameer-vann-all-i-know-lyrics,7315870,,,Ameer Vann,"Houston, Texas, U.S","Los Angeles, California, U.S",New York City,,,,img/artists/ameer-vann-32068.jpg,artist_photo,img/art/7315870.jpg,,,,,"Houston, TX",curated
1998,Kane & Abel,"Greens, Cornbread, and Cabbage",,Fifteen five for a key now I'm,15.5,sell,USD,"New Orleans, LA",medium,,trim quote to the line,lyric_search,210,https://genius.com/Kane-and-abel-greens-cornbread-and-cabbage-lyrics,25800,,,,,,,,,,img/artists/kane-abel-357182.jpg,artist_photo,img/art/25800.jpg,,,,,"New Orleans, LA",curated
2021,Rx Papi,Daisy Lane,Rx Papi,"Study for a ten, thirty for a brick",30,quoted,USD,"Rochester, NY",medium,,,lyric_search,211,https://genius.com/Rx-papi-daisy-lane-lyrics,7794686,2021,,Rx Papi,,"Rochester, New York",Rochester,,,,img/artists/rx-papi-2338660.jpg,artist_photo,img/art/7794686.jpg,,,,,"Rochester, NY",curated
2015,"Big Ghost Ltd, Conway the Machine & Westside Gunn",If I Ruled the World '15,,I take it back to '05 when coke prices was eighteen a key,18,quoted,USD,"Buffalo, NY",high,retrospective,line dates the price to 2005; set performer once checked (Conway or Westside Gunn),lyric_search,212,https://genius.com/Big-ghost-ltd-conway-the-machine-and-westside-gunn-if-i-ruled-the-world-15-lyrics,2337879,2015,,Big Ghost,,,Buffalo,,,,img/artists/big-ghost-ltd-50289.jpg,artist_photo,img/art/2337879.jpg,,,,,"Buffalo, NY",curated
2021,Erick the Architect,Self Made,Erick the Architect,I'll tell you why the white sell like 10 a key,10,quoted,USD,"Brooklyn, NY",medium,,,lyric_search,213,https://genius.com/Erick-the-architect-self-made-lyrics,7290165,2021,,Erick Arc Elliott,"Brooklyn, New York, U.S",,New York,,,,img/artists/erick-the-architect-17102.jpg,artist_photo,img/art/7290165.jpg,,,,,"Brooklyn, NY",curated
2019,Cookie Money,Street Visions,Cookie Money,"Thirty for a brick, I ain't never",30,quoted,USD,"Oakland, CA",medium,,trim quote to the line,lyric_search,214,https://genius.com/Cookie-money-street-visions-lyrics,4241411,2019,,,,,,,,,img/artists/cookie-money-93788.jpg,artist_photo,img/art/4241411.jpg,,,,,"Oakland, CA",curated
2019,Emoney X JC,prada,Sir Flex-A-Lot,I got twenty fucking thousand for a brick,20,quoted,USD,,medium,,,lyric_search,215,https://genius.com/Emoney-x-jc-prada-lyrics,7853382,,,,,,,,,,img/artists/emoney-x-jc-2542049.jpg,artist_photo,img/art/7853382.jpg,"Baltimore, MD","No bio found for Emoney X JC or the featured Sirflexalot. Placed on the Baltimore Orioles cap (grey crown, cartoon-bird logo, green underbrim) worn in the act's own Genius artist image. A cap is weak evidence, not a stated hometown. Alternative signal: a SoundCloud account with the exact Genius spelling SIRFLEXALOT lists Oakland, CA, but it has no tracks and cannot be tied to this song. The Sonoma, CA 'EMoney' of TeamBackPack cyphers is a different, older artist",https://genius.com/Emoney-x-jc-prada-lyrics,low,"Baltimore, MD",inferred
2019,Lil Lyko,Lean,,"Spend 10 grand on a bitch, spend six on a brick",6,buy,USD,,low,outlier,"6 is far below market, likely a bar not a price",lyric_search,216,https://genius.com/Lil-lyko-lean-lyrics,7255658,,,,,,,,,,img/artists/lil-lyko-2707081.jpg,artist_photo,img/art/7255658.jpg,"Covington, KY","Bio: Logan Sokolov, born Riga, Latvia, based in Covington, Kentucky",https://open.spotify.com/artist/4a4GK5fSd7g9ikiIrr9bGj,medium,"Covington, KY",inferred
2018,Young Scooter,Plug Lingo,Young Scooter,Like how I sell a bird for twenty and they cost three-oh,20,sell,USD,"Atlanta, GA",medium,,"sells at 20, says they cost 30; sell price used",lyric_search,217,https://genius.com/Young-scooter-plug-lingo-lyrics,3508675,2018,,Young Scooter,"Walterboro, South Carolina, U.S","Atlanta, Georgia, U.S",Atlanta,,,,img/artists/young-scooter-23552.jpg,artist_photo,img/art/3508675.jpg,,,,,"Atlanta, GA",curated
2014,Millyz & The Colombians,The Plug Remix,,Sixty for the whole thing / Thirty for the half,60,sell,USD,"Boston, MA",medium,implied_unit,'whole thing' = kilo; check whether Millyz or Jadakiss raps the line,lyric_search,219,https://genius.com/Millyz-and-the-colombians-the-plug-remix-lyrics,2961768,2014,,,,,,,,,img/artists/millyz-60418.jpg,artist_photo,img/art/2961768.jpg,,,,,"Boston, MA",curated
2020,Florence Sinclair,Hard food,,But how much? / Well it's forty grand a key,40,quoted,GBP,"London, UK",medium,,,lyric_search,220,https://genius.com/Florence-sinclair-hard-food-lyrics,12155524,,,,,,,,,,img/artists/florence-sinclair-3029802.jpg,artist_photo,img/art/12155524.jpg,,,,,"London, UK",curated
2020,Zaytoven,EA LEGENDS,,"No more pain, sold the bricks for twenty-eight",28,sell,USD,"Atlanta, GA",medium,,"set performer once checked (OJ da Juiceman, Yung LA or Yung Ralph)",lyric_search,221,https://genius.com/Zaytoven-ea-legends-lyrics,6311287,2020,,Zaytoven,"Frankfurt, West Germany",,Atlanta,,,,img/artists/zaytoven-27822.jpg,artist_photo,img/art/6311287.jpg,,,,,"Atlanta, GA",curated
2020,Ice City,Street Therapy,,"Re-up on the brick, that's thirty-six, half a brick, eighteen",36,buy,GBP,"London, UK",medium,,36 read as price since the half is priced at 18,lyric_search,222,https://genius.com/Ice-city-street-therapy-lyrics,13737842,,,Ice City Boyz,,"Church End, London, England",London,,,,img/art/13737842.jpg,song_art,img/art/13737842.jpg,,,,,"London, UK",curated
2019,Corleone (UK),Poor Little Rich Kid,,"Heard that sniff shit, 35 a brick prick",35,quoted,GBP,"London, UK",medium,,"Snap Capone features, check who raps the line",lyric_search,223,https://genius.com/Corleone-uk-poor-little-rich-kid-lyrics,692796,,,,,,,,,,img/artists/corleone-uk-1945862.jpg,artist_photo,img/art/692796.jpg,,,,,"London, UK",curated
2016,Lil Pump,30 Bitches (2016),Lil Pump,Forty thousand on a brick,40,quoted,USD,"Miami, FL",medium,,year from title; confirm on Genius,lyric_search,224,https://genius.com/Lil-pump-30-bitches-2016-lyrics,10148597,,,Lil Pump,"Miami, Florida, U.S",,Miami,,,,img/artists/lil-pump-654932.jpg,artist_photo,img/art/10148597.jpg,,,,,"Miami, FL",curated
2016,Chubbie Baby,Thank the Plug,,Brick at 15 and a half / Now a half a brick cost you 15 and a half,15.5,buy,USD,"Atlanta, GA",medium,retrospective,"line contrasts old price (15.5 per brick) with now (15.5 per half => 31); old price used, consider a second derived row at 31",lyric_search,225,https://genius.com/Chubbie-baby-thank-the-plug-lyrics,4889597,,,,,,,,,,,,,,,,,"Atlanta, GA",curated
2017,Snap Capone,Man Down,Snap Capone,I'm in the hood where the bricks go for thirty,30,quoted,GBP,"London, UK",medium,,,lyric_search,226,https://genius.com/Snap-capone-man-down-lyrics,7742386,,,,,,,,,,img/artists/snap-capone-244715.jpg,artist_photo,img/art/7742386.jpg,,,,,"London, UK",curated
2005,D-Block,Yayo,Jadakiss,"Your bricks cost 24, mine 60 something",24,quoted,USD,"Yonkers, NY",medium,,24 taken as the market price; 60 is a boast about his own being uncut,lyric_search,227,https://genius.com/D-block-yayo-lyrics,4307785,2005,,Jadakiss,"Yonkers, New York, U.S",,New York,,,,img/artists/jadakiss-34.jpg,artist_photo,img/art/4307785.jpg,,,,,"Yonkers, NY",curated
2020,Geny Luv,Oak,,On my shit thirty dollars on a brick,30,quoted,USD,,low,implied_unit,'thirty dollars' read as 30K,lyric_search,228,https://genius.com/Geny-luv-oak-lyrics,6013872,2020,,,,,,,,,img/artists/geny-luv-2212550.jpg,artist_photo,img/art/6013872.jpg,"Fresno, CA","MusicBrainz: born Aug 21, 1998, Fresno, California",https://musicbrainz.org/artist/a496deae-07b0-4d2d-a94b-5445d26e3a77,medium,"Fresno, CA",inferred
2024,RX HECTOR,Any Occasion,,"I spent a twenty on a brick, sent it to Cincinnati",20,buy,USD,,medium,,check whether RX HECTOR or YTB Fatt raps the line,lyric_search,229,https://genius.com/Rx-hector-any-occasion-lyrics,10160829,2024,,,,,,,,,img/artists/rx-hector-998657.jpg,artist_photo,img/art/10160829.jpg,"Atlanta, GA","Genius bio: Dalemonte Stilley, rapper from Atlanta, Georgia, MONY POWR RSPT with Hoodrich Pablo Juan",https://genius.com/artists/Rx-hector,high,"Atlanta, GA",inferred
2024,Victor Rashad,Wartime Ready,Victor Rashad,I wanna break down a brick at twenty-four,24,buy,USD,,medium,,,lyric_search,230,https://genius.com/Victor-rashad-wartime-ready-lyrics,11228474,2024,,,,,,,,,img/artists/victor-rashad-3972490.jpg,artist_photo,img/art/11228474.jpg,"Atlanta, GA","X bio cites ATL legends as influences (Andre 3000, Big Boi); no explicit hometown found",https://x.com/_VictorRashad_,low,"Atlanta, GA",inferred
2012,AR-AB,North 2 West,AR-AB,Bring 32 grand if you need a brick,32,sell,USD,"Philadelphia, PA",high,,,lyric_search,231,https://genius.com/Ar-ab-north-2-west-lyrics,3064862,,,,,,,,,,img/artists/ar-ab-1136.jpg,artist_photo,img/art/3064862.jpg,,,,,"Philadelphia, PA",curated
2018,Dion Lekeith,How You Trying to Roll,Bobby Gore,Got me feeling like a key / 30 grand I'll pay the fee,30,quoted,USD,,low,implied_unit;wordplay,30 grand is 'the fee' in a rhyme with 'key'; kilo price by association only,lyric_search,232,https://genius.com/Dion-lekeith-how-you-trying-to-roll-lyrics,4307638,2018,,,,,,,,,img/artists/dion-lekeith-281744.jpg,artist_photo,img/art/4307638.jpg,"Chicago, IL","Dion Lekeith's catalogue is Chicago West Side: albums 'Y'all Killed Bobby Gore' (2021) and 'HolyCity Babies' (2023), track 'Godfather of Chicago Streets 2'. Bobby Gore led the Conservative Vice Lords in North Lawndale, whose turf is called the Holy City. Genius credits the quoted verse to 'Bobby Gore', likely an alias on that album",https://open.spotify.com/album/1sD9RTndBSDq6FfeqzTxfT,high,"Chicago, IL",inferred
2018,JayDaYoungan,Wake Up,JayDaYoungan,"Stepped out and I look like a brick / Thirty bands, I put that on my wrist",30,quoted,USD,"Bogalusa, LA",low,implied_unit;wordplay,"thirty bands is the watch; equates himself to a brick, so 30 = brick price only by implication",lyric_search,233,https://genius.com/Jaydayoungan-wake-up-lyrics,4139396,2018,,JayDaYoungan,"Bogalusa, Louisiana, U.S",,,,,,img/artists/jaydayoungan-1123440.jpg,artist_photo,img/art/4139396.jpg,,,,,"Bogalusa, LA",curated
